Day,high degree F,low degree F,Precip inch,Snow inch,snow depth inch
11/1/2019,63,32,0,0,0
11/2/2019,71.1,39,0,0,0
11/3/2019,73,42.1,0,0,0
11/4/2019,80.1,53.1,0,0,0
11/5/2019,84.9,64,0,0,0
11/6/2019,84.9,64,0,0,0
11/7/2019,70,46.9,0.11,0,0
11/8/2019,54,45,0.02,0,0
11/9/2019,69.1,42.1,0,0,0
11/10/2019,77,45,0,0,0
11/11/2019,75.9,35.1,0.19,0,0
11/12/2019,46,30.9,0.01,0,0
11/13/2019,45,28,T,0,0
11/14/2019,46,37,0.62,0,0
11/15/2019,64,34,0,0,0
11/16/2019,64,34,0,0,0
11/17/2019,70,42.1,0,0,0
11/18/2019,73,46,0,0,0
11/19/2019,80.1,46.9,0,0,0
11/20/2019,82.9,57.9,0.01,0,0
11/21/2019,80.1,70,0.13,0,0
11/22/2019,71.1,48.9,0.08,0,0
11/23/2019,64.9,44.1,0,0,0
11/24/2019,72,39.9,0,0,0
11/25/2019,82.9,48.9,T,0,0
11/26/2019,79,66,0,0,0
11/27/2019,71.1,54,T,0,0
11/28/2019,63,53.1,0.03,0,0
11/29/2019,79,55.9,0.07,0,0
11/30/2019,86,62.1,T,0,0
