manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Black+Decker,LSW221,Tractor Supply Co,20.0,1.0,1.5,0.9,1.0,61.0,100.0,100.0,130.0,130.0,3.7,99.99,https://www.tractorsupply.com/tsc/product/black-decker-20v-max-cordless-sweeper-lsw221-1868541?utm_source=pepperjam&utm_medium=affiliate&cid=pepperjam-affiliate-209240&affiliate_id=209240&click_id=4489163187&clickId=4489163187
Black+Decker,LSW321,Tractor Supply Co,20.0,1.0,2.0,0.9,1.0,54.0,100.0,100.0,130.0,130.0,3.7,119.99,https://www.tractorsupply.com/tsc/product/black-decker-20v-max-lithium-powerboost-sweeper-1287271?utm_source=pepperjam&utm_medium=affiliate&cid=pepperjam-affiliate-209240&affiliate_id=209240&click_id=4488380522&clickId=4488380522
Black+Decker,LSW321,Walmart,20.0,1.0,2.0,0.9,1.0,54.0,100.0,100.0,130.0,130.0,3.7,128.0,https://www.walmart.com/ip/BLACK-DECKER-20V-MAX-Cordless-Sweeper-with-Power-Boost-LSW321/999014132
Black+Decker,LSW40C,Home Depot,40.0,1.0,1.5,1.9,0.5,59.0,90.0,90.0,125.0,125.0,6.0,129.0,https://www.homedepot.com/p/BLACK-DECKER-40V-MAX-125-MPH-90-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-1-1-5Ah-Battery-Charger-LSW40C/303481972
Black+Decker,LSWV36,Home Depot,40.0,1.0,1.5,1.9,0.5,65.0,90.0,90.0,120.0,120.0,6.9,168.0,https://www.homedepot.com/p/BLACK-DECKER-40V-MAX-120-MPH-90-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Vacuum-Kit-with-1-1-5Ah-Battery-Charger-LSWV36/203190225
Craftsman,CMCBL710M1,Lowes,20.0,1.0,4.0,0.77,1.0,92.0,200.0,200.0,90.0,90.0,5.05,89.98,CRAFTSMAN 20-volt Max 200-CFM 90-MPH Battery Handheld Leaf Blower 4 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Craftsman,CMCBL730P1,Lowes,20.0,1.0,5.0,2.6,0.0,63.0,410.0,410.0,110.0,110.0,6.5,129.0,https://www.lowes.com/pd/CRAFTSMAN/5013848049
Dewalt,DCBL722BDCB246K,Home Depot,20.0,2.0,6.0,1.8,0.0,61.0,450.0,450.0,125.0,125.0,6.3,348.0,https://www.homedepot.com/p/DEWALT-20V-MAX-125-MPH-450-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-6Ah-and-4Ah-Batteries-Charger-and-Bag-DCBL722BDCB246K/314645746
Dewalt,DCBL722P1,Home Depot,20.0,1.0,5.0,1.4,0.0,62.0,450.0,450.0,125.0,125.0,6.7,199.0,DEWALT 20V MAX 125 Mph 450 CFM Brushless Cordless Battery Powered Handheld Leaf Blower with (1) 5Ah Battery & Charger DCBL722P1 - The Home Depot
Dewalt,DCBL770X1,Home Depot,60.0,1.0,3.0,2.7,0.0,67.0,423.0,423.0,129.0,129.0,10.1,319.0,https://www.homedepot.com/p/DEWALT-60V-MAX-129-Mph-423-CFM-Brushless-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-1-FLEXVOLT-3Ah-Battery-Charger-DCBL770X1/301326299#overlay
