msrp,invoice,disp,cyl,hp,weight,wheelbase,length,width,sports,suv,wagon,minivan,pickup,AWD,RWD,coupe,sedan,mpgclass,cmpg,hmpg
22388,20701,1.8,4,142,2387,89,156,66,1,0,0,0,0,0,1,1,0,2,23,28
35545,32244,3.8,6,205,3778,114,207,75,0,0,0,0,0,0,0,0,1,1,20,29
39235,36052,4,8,270,3953,106,185,69,0,0,0,0,0,0,0,0,1,1,18,25
45707,41966,3.2,6,215,3770,107,183,69,0,0,0,0,0,0,1,1,0,1,20,26
15500,14525,2,4,148,2696,,,,0,0,0,0,0,0,0,0,1,,,
34845,32902,2.3,5,247,3766,107,180,71,0,0,0,0,0,0,0,0,1,1,20,28
35515,32243,3.2,6,220,5086,112,187,76,0,1,0,0,0,1,0,0,0,0,15,20
14610,13697,2.2,4,140,2617,104,183,69,0,0,0,0,0,0,0,1,0,2,26,37
33112,30763,3.8,6,215,4718,110,190,75,0,1,0,0,0,1,0,0,0,0,15,19
21900,20095,3.4,6,180,3465,111,200,73,0,0,0,0,0,0,0,0,1,2,21,32
65000,59912,4.2,8,335,5194,118,204,75,0,0,0,0,0,0,0,0,1,,,
25995,23969,2.5,6,174,3577,101,175,71,0,1,0,0,0,1,0,0,0,1,18,21
24895,22835,3.8,6,200,3461,109,196,73,0,0,0,0,0,0,0,0,1,1,20,30
11690,10965,1.6,4,103,2370,98,167,66,0,0,0,0,0,0,0,0,1,2,28,34
21055,19638,1.9,4,100,3003,99,172,68,0,0,0,0,0,0,0,0,1,2,38,46
86970,80939,5,8,302,4390,122,203,73,0,0,0,0,0,1,0,0,1,0,16,24
22010,19490,4.6,8,231,4788,126,227,80,0,0,0,0,1,0,1,0,0,0,15,19
36945,33337,3.5,6,265,4451,106,189,77,0,1,0,0,0,1,0,0,0,0,17,23
35940,32512,1.8,4,180,3131,95,159,73,1,0,0,0,0,0,0,1,0,1,20,28
22395,20545,3.8,6,200,3477,111,198,74,0,0,0,0,0,0,0,0,1,1,20,30
19635,18630,3.5,6,192,4112,107,180,73,0,1,0,0,0,0,0,0,0,0,16,19
24695,23217,4.6,8,224,4052,115,212,78,0,0,0,0,0,0,1,0,1,0,17,25
68995,62846,4.2,8,294,3803,119,200,73,0,0,0,0,0,0,1,0,1,1,18,28
16495,14978,3.4,6,190,3925,128,218,75,0,0,0,0,1,0,1,0,0,0,16,20
22450,20595,3.4,6,175,3118,107,186,70,0,0,0,0,0,0,0,1,0,1,20,29
15040,14086,2,4,132,2626,105,174,67,0,0,0,0,0,0,0,0,1,2,29,36
40670,38520,2,4,210,3480,105,182,69,0,0,0,0,0,0,0,1,0,2,21,29
46995,43523,4.6,8,320,4302,116,195,73,0,1,0,0,0,0,0,0,0,0,16,21
17630,16264,3.7,6,210,3714,112,196,72,0,0,0,0,1,0,1,0,0,0,16,22
34560,30468,4.6,8,232,5000,119,206,79,0,1,0,0,0,0,0,0,0,0,15,19
57270,53382,5,8,302,3815,112,190,71,0,0,0,0,0,0,1,0,1,0,16,20
26189,23486,3.5,6,194,3651,108,192,72,0,0,0,0,0,0,0,0,1,0,17,26
19090,17805,2.4,4,150,3173,108,191,71,0,0,0,0,0,0,0,0,1,2,22,30
51535,45193,5.7,8,350,3248,105,180,74,1,0,0,0,0,0,1,1,0,1,18,25
23495,21198,3.3,6,230,4120,119,200,77,0,0,0,1,0,0,0,0,0,1,19,27
25920,23125,3,6,210,3362,107,189,71,0,0,0,0,0,0,0,0,1,2,21,29
20339,18380,2.7,6,170,3217,106,187,72,0,0,0,0,0,0,0,0,1,1,19,27
11560,10896,1.5,4,108,2085,93,163,65,0,0,0,0,0,0,0,1,0,2,33,39
25092,23456,3,6,210,3241,101,177,69,1,0,0,0,0,0,0,1,0,2,21,28
28345,26047,3.8,6,240,3536,109,196,73,0,0,0,0,0,0,0,0,1,1,18,28
52775,46360,5.4,8,300,5969,119,206,80,0,1,0,0,0,1,0,0,0,0,13,18
26395,23954,4.3,6,190,4605,111,190,78,0,0,0,1,0,1,0,0,0,0,14,17
16350,15299,2.2,4,140,2751,103,185,68,0,0,0,0,0,0,0,1,0,2,26,35
35105,33011,2.3,4,220,3470,106,190,71,0,0,0,0,0,0,0,0,1,2,21,29
20130,18973,2.4,4,150,3826,104,174,72,0,1,0,0,0,1,0,0,0,1,20,24
20939,19512,3.3,6,180,3760,104,178,70,0,1,0,0,0,0,0,0,0,0,17,20
19240,18030,2.5,4,175,3039,110,192,70,0,0,0,0,0,0,0,0,1,2,21,26
29380,26875,4.6,8,260,3347,101,183,73,1,0,0,0,0,0,1,1,0,0,17,25
33260,29965,2.2,4,240,2835,95,162,69,1,0,0,0,0,0,1,1,0,1,20,25
36100,31689,5.3,8,295,5678,130,222,80,0,0,0,0,1,1,0,0,0,0,14,18
25700,23883,3.8,6,230,3649,108,191,72,0,0,0,0,0,0,0,0,1,1,18,26
18995,17434,2.2,4,145,3174,106,188,70,0,0,0,0,0,0,0,0,1,2,24,34
26960,24304,3,6,240,3294,105,188,71,0,0,0,0,0,0,0,1,0,2,21,30
19860,17924,2.4,4,160,2994,105,188,71,0,0,0,0,0,0,0,1,0,2,26,34
25935,23520,3.4,6,190,4435,128,230,79,0,0,0,0,1,1,0,0,0,0,14,17
16695,15156,1.8,4,130,2679,102,171,70,0,0,1,0,0,0,0,0,0,2,29,36
42915,39443,4.6,8,302,4834,114,193,76,0,1,0,0,0,0,0,0,0,0,13,18
69995,63756,4.2,8,294,3779,102,187,71,1,0,0,0,0,0,1,1,0,1,18,26
17750,16265,1.7,4,127,2601,103,175,68,0,0,0,0,0,0,0,0,1,2,32,37
14630,13790,1.8,4,124,2697,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
47955,43841,4.6,8,275,3992,112,201,75,0,0,0,0,0,0,0,0,1,1,18,26
